system,dataset,topk,param,recall@1,recall@5,recall@10,avg_latency_ms,p50_latency_ms,p99_latency_ms,notes,protocol
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=8",0.0660,0.4720,0.7150,0.3327,0.3259,0.4906,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=16",0.0670,0.4730,0.7450,0.6571,0.6387,0.9347,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=32",0.0680,0.4650,0.7470,1.3167,1.2789,1.6580,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=64",0.0650,0.4620,0.7490,1.4664,1.4352,1.7544,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=128",0.0660,0.4560,0.7460,1.7628,1.7321,2.0527,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=256",0.0670,0.4480,0.7440,2.4014,2.3862,2.6805,"warmup=100,queries=1000",warm
FAISS-IVFPQ-disk,coco_100k,10,"nlist=2048,nprobe=512",0.0670,0.4450,0.7400,3.9766,3.9594,4.2179,"warmup=100,queries=1000",warm
